,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
5454,14,"Thomas, Logan",was, sfo,7.3,5200.0,Away
5455,14,"Fumagalli, Troy",den, car,7.3,4100.0,Away
5456,14,"Henry, Hunter",lac,atl,7.1,5600.0,Home
5457,14,"Gronkowski, Rob",tam,min,6.7,6200.0,Home
5458,14,"Conklin, Tyler",min, tam,6.5,4400.0,Away
5459,14,"Goedert, Dallas",phi,nor,6.3,5600.0,Home
5460,14,"Kmet, Cole",chi,hou,6.1,4600.0,Home
5461,14,"Ebron, Eric",pit, buf,6.0,5600.0,Away
5462,14,"Njoku, David",cle,bal,6.0,4600.0,Home
5463,14,"Doyle, Jack",ind, lvr,5.9,5000.0,Away
5464,14,"Schultz, Dalton",dal, cin,4.9,5100.0,Away
5465,14,"Higbee, Tyler",lar,nwe,4.4,5300.0,Home
5466,14,"Shaheen, Adam",mia,kan,3.6,4300.0,Home
5467,14,"Sample, Drew",cin,dal,3.6,4700.0,Home
5468,14,"Akins, Jordan",hou, chi,3.5,5000.0,Away
5469,14,"Thomas, Ian",car,den,3.5,4500.0,Home
5470,14,"Knox, Dawson",buf,pit,3.4,4500.0,Home
5471,14,"Smith, Jonnu",ten, jac,3.3,5400.0,Away
5472,14,"Bryant, Harrison",cle,bal,3.3,4300.0,Home
5473,14,"Eifert, Tyler",jac,ten,3.2,4700.0,Home
5474,14,"Dwelley, Ross",sfo,was,3.0,4900.0,Home
5475,14,"Smythe, Durham",mia,kan,2.9,4100.0,Home
5476,14,"Engram, Evan",nyg,ari,2.8,5700.0,Home
5477,14,"Williams, Maxx",ari, nyg,2.7,4200.0,Away
5478,14,"Parkinson, Colby",sea,nyj,2.6,4000.0,Home
5479,14,"Hollister, Jacob",sea,nyj,2.5,4900.0,Home
5480,14,"O'Shaughnessy, James",jac,ten,2.4,4100.0,Home
5481,14,"Reed, Jordan",sfo,was,2.3,5000.0,Home
5482,14,"Fells, Darren",hou, chi,2.0,4800.0,Away
5483,14,"Ertz, Zach",phi,nor,1.8,5300.0,Home
5484,14,"Trautman, Adam",nor, phi,1.7,4300.0,Away
5485,14,"Bell, Blake",dal, cin,1.6,4000.0,Away
5486,14,"Everett, Gerald",lar,nwe,1.4,4800.0,Home
5487,14,"Herndon, Chris",nyj, sea,1.4,4500.0,Away
5488,14,"Alie-Cox, Mo",ind, lvr,1.4,4600.0,Away
5489,14,"Brate, Cameron",tam,min,1.4,4700.0,Home
5490,14,"Graham, Jaeden",atl, lac,1.2,4000.0,Away
5491,14,"Hurst, Hayden",atl, lac,1.2,5500.0,Away
5492,14,"Lewis, Marcedes",gnb, det,1.1,4400.0,Away
5493,14,"Smith, Kaden",nyg,ari,1.1,4000.0,Home
5494,14,"Firkser, Anthony",ten, jac,1.0,5100.0,Away
5495,14,"Saubert, Eric",jac,ten,0.9,4000.0,Home
5496,14,"Hill, Josh",nor, phi,0.6,4100.0,Away
